yerdunc	Razor Rotoms
pzz04	Seattle Sharpedos
brettibus	Philadelphia Swirlixers
Bbeeaa	BEA AND FRIENDS 
habaduh	gisborne gengars
onelastkiss.	Pink Powerhouse 
highjumpsean	Long Beach Nincada
luirromen	Red Hot Chilli Chi-Yus
enzo7714	Paraguayas Supremacy 
Luka#9840	Pochoclo FC
Theflyingbird	Perth Poverty
Bonsoir	Chunky chungus
ItsNimXD	las vegas xlukes
Phandon	Food Furretsss
gondraa	Eres Ferenia
Denis°#1589	GUS MENCIONADO
.inviernos.	Yuki
shadowtime2000	idk
zmt777	MCLOVERS
Phil	CRAIGS BALLS IN MY MOUTH
snipere.	We Are Venom
miozai	Ballsack Marauders
zdh_gaming	Yerdunc Yerduncs
pt.2345678andstill	Azealia Banks Abomasnow
Vesuvius#3526	Anime Adventures
Jscurf	Winnipeg Jet Punches 
yedgar	los bancananas
airedout	Hungry hippopotas
Luthier. 	Luthier swag
legonene	Leering Lycanrocs
Culerabastarda	Nidorina Sawayama
sebastivnity	Genetic Bliss
fadesheisty	Oliver Taylor
twixtwixtwixtwixtwixtwixtwixtwix	Finasteride Flygons
specsking	Brixton Bullies
bihihihi	idc
iamtriangles	Big Stew's Big Boys
Gilbert xerneas 	Highway 77
scionicle	Starry Suburbs Scizors
boopbeepbop	Gorilla Gang
Bowas	Bowmer Nation 
zioziotrip	Gambling-Addicted Grumpigs
Mustangang	Devastating Drakes
cleancuts	2177
tremono	Eggs for Breakfast
pidgeot_mega	🚮
vengabenga	Lunar Clefs
cacao_	Mango Sago
sebillionaire	Tonka town yeatdaunts
Azcelerator	Aurora Azelf
Finalcrusader15	Ceruledge Crusade
Blanched	Ursaluna Lis
Luxanse	team
._.sep._.	Volbeat Virgins
Marshy._.	the dart monkeys
watermelondawg	cardboard coallition
.matt_	Russell Wilson is Elite
goldencyber	Mossdeep Meteor Mashes
Stefaan14	Lisse Ledians
DavidEid2410	Chicago Conkeldurrs
Grimmettz	Great Tuskan Raiders
daniel.daniel.daniel	This is ridiculous.
Burrger	Denver Drowzees
enzonana	cienporcientopurocalor
Juan123juan	Juan123juan
Driplegend	Thigh Gap Tsareenas
IncineKage	Philly Palafins, Kentucky Kleavors
potaototochoon	gulping pelippers
utatheclown	Michigan Mawiles
na.gol	nagol’s nalgas
theodore mani	Idk bro isnt it random?
1004064	Styrofoam Squad 💯🔥🥛
chrisinthe90210	Miami Overheat 
.fakee	Lugia Zapatilla
Bronson 1145	Team namer
omnomnomnomnomnomnomnomnomnom	MonkeBoi Monkeys
elodinbugers	Bregafunk 2023
killerascii	Miami Solrock
Nathaniel#5524	Team be nice to me
thedamngoat.	The Brazillian Red Cards
worrywhirl	im shit diglett 
aplgs	Pikachu cinderace torkoal mewtwo croconaw torterra
.therealpablo_	San Francisco Sires
fish#1091	riffatoni
Liam.am	Mr. Gobbler
tricking	Santuz 🥸 
Garfdid	Gyatts in Ohio!
eZo#1490	Nikocado’s Avocados
Xiph34	Worst team ever generated
Ina fable 	No Idea 
laxuy	Hoppip on Valorant
skooma1	Salty Sableye 
geniusx 	Great tusks of terror
crashingboombang	Goobnut Gang
memine11	Green Gobblers
turtle_kun	turtle's shell
Ronansting	Flanders Flygons
ilop.	Cleveland Golurk
coldembrace#6248	Snowy Alolan Vulpix 
dackt	Lando-T Posers
R1C3M4N	Shitposting Serperiors
xandxand	San Diego Hydres
ThatCommonBoi	Milwaukee Sawsbucks
m.e.t.r.o.	Bald
Gambit_Gaming	Milwaukee Brelooms
JayswagEdition	Enigma Elekids
jedonn	schizoward
ikedreams 	GholdenGo to the Polls
barbiefan4evet	Houston Chimechos
noahaloha	Rend a girl
demostert	Freeze Hax
.choomie	Glendale Galekings
AiriQuaris	Nakiris sylveons
Tanaym	Creg and sugar sitting in a tree 😳
Seevea	The Bigtree Bigot Trees
rileyescobar	rileyescobar
charzard	LA Ludicolos
eblurb	henry ruggs rides
Ahsan-219#0570	Lucians Call
blarghlfarghl_official	snubbed cnbt1 winners
sosa.416	Maxou Rillabooms
el_wichin	Wartortle Tacos Stand
mimikyu_stardust	Dolled up Dollivs
MrBanana45 	Red Hot Chili Peppers 
ikaishi	Tilines Insanos
